,uic,name,lat,lng,address
65,8400632,Valkenburg,50.8697204589844,5.83222198486328,"Spoor 2, Parallelweg, Stoepert, Valkenburg, Valkenburg aan de Geul, Limburg, Nederland, 6301 XP, Nederland"
66,8400167,Dalfsen,52.4983329772949,6.25861120223999,"Heinoseweg, Dalfsen, Overijssel, Nederland, 7722 HA, Nederland"
67,8400208,Emmen,52.7900009155273,6.89944458007812,"Stationsplein, Emmen, Drenthe, Nederland, 7811 GW, Nederland"
68,8400407,Emmen Zuid,52.7488663746914,6.87478065490722,"Nieuw-Amsterdamsestraat, Emmen, Drenthe, Nederland, 7814 VA, Nederland"
69,8400293,Hardenberg,52.5727767944336,6.62861108779907,"Parallelweg, Baalderveld, Hardenberg, Overijssel, Nederland, 7772 SB, Nederland"
70,8400434,Meerssen,50.882879392551,5.75099945068359,"1a, Stationsplein, Proostenbuurt, Rothem, Meerssen, Limburg, Nederland, 6231 CN, Nederland"
71,8400454,Nieuw Amsterdam,52.7186126708984,6.84861087799072,"Veilingstraat, Nieuw-Amsterdam, Emmen, Drenthe, Nederland, 7833 HN, Nederland"
72,8400074,Amsterdam Bijlmer ArenA,52.3122215270996,4.94694423675537,"6, Hoogoorddreef, Zuidoost, Amsterdam, Noord-Holland, Nederland, 1101 DT, Nederland"
73,8400086,Baarn,52.2083320617676,5.28083324432373,"Prinses Marielaan, Baarn, Utrecht, Nederland, 3743 JE, Nederland"
74,8400457,Bad Nieuweschans,53.1844,7.19937,"Stationsstraat, Bad Nieuweschans, Oldambt, Groningen, Nederland, 9693 AA, Nederland"
75,8400128,Boxmeer,51.6445217676531,5.93903303146362,"Spoor 1, Wim de Körverstraat, Saxe Gotha, Boxmeer, Land van Cuijk, Noord-Brabant, Nederland, 5831 AM, Nederland"
76,8400129,Boxtel,51.58433,5.31912,"Spoor 6, Parallelweg Noord, Lennisheuvel, Boxtel, Noord-Brabant, Nederland, 5281 GH, Nederland"
77,8400133,Breukelen,52.17149,4.9906,"De Corridor, Breukelen, Stichtse Vecht, Utrecht, Nederland, 3621 ZC, Nederland"
78,8400179,Den Dolder,52.1402778625488,5.24277782440186,"Fornheselaan, Den Dolder, Zeist, Utrecht, Nederland, 3734 BL, Nederland"
79,8400380,Den Haag Laan v NOI,52.0786094665527,4.34277772903442,"Van Alphenstraat, Voorburg, Leidschendam-Voorburg, Zuid-Holland, Nederland, 2274 NH, Nederland"
80,8400177,Doetinchem,51.9585962,6.2962148,"Station AlexSander, 8, Stationsplein, Hamburgerbroek, Doetinchem, Gelderland, Nederland, 7005 AK, Nederland"
81,8400182,Driebergen-Zeist,52.0652770996094,5.25861120223999,"Spoor 1, Stationsplein, Driebergen-Rijsenburg, Utrechtse Heuvelrug, Utrecht, Nederland, 3972 KZ, Nederland"
82,8400194,Duivendrecht,52.3233337402344,4.93638896942139,"1, Stationsweg, Duivendrecht, Ouder-Amstel, Noord-Holland, Nederland, 1115 BZ, Nederland"
83,8400207,Elst,51.9169425964355,5.85500001907349,"Stationsplein, Elst, Overbetuwe, Gelderland, Nederland, 6662 NC, Nederland"
84,8400244,Geldermalsen,51.88301,5.27127,"Spoor 4, Trichtsevoetpad, Lingedonk, Geldermalsen, West Betuwe, Gelderland, Nederland, 4191 LG, Nederland"
85,8400245,Geldrop,51.4197235107422,5.55055570602417,"Tournooiveld, Papenvoort, Zesgehuchten, Hout, Geldrop, Geldrop-Mierlo, Noord-Brabant, Nederland, 5663 GK, Nederland"
86,8400256,Gorinchem,51.8338890075684,4.96833324432373,"Stationsweg, Binnenstad, Gorinchem, Zuid-Holland, Nederland, 4205 AA, Nederland"
87,8400294,Harderwijk,52.3375015258789,5.61972236633301,"Westeinde, Het Nachthok, Stationsomgeving, Harderwijk, Gelderland, Nederland, 3844 KR, Nederland"
88,8400306,Heerhugowaard,52.6697235107422,4.82277774810791,"2, Stationsplein, Stadshart, Heerhugowaard, Dijk en Waard, Noord-Holland, Nederland, 1703 WC, Nederland"
89,8400331,Hoogezand-Sappemeer,53.1598181316756,6.77075386047363,"Stationsweg, Hoogezand, Midden-Groningen, Groningen, Nederland, 9601 BJ, Nederland"
90,8400340,Houten,52.03402,5.16821,"Houten, Onderdoor, Houten, Utrecht, Nederland, 3995 DW, Nederland"
91,8400355,Kerkrade Centrum,50.8616676330566,6.05749988555908,"Museumplein, Kerkrade, Limburg, Nederland, 6461 MA, Nederland"
92,8400382,Lage Zwaluwe,51.6911125183105,4.66305541992188,"Spoor 3, Oude Moerdijkseweg, Zevenbergschen Hoek, Moerdijk, Noord-Brabant, Nederland, 4765 SM, Nederland"
93,8400548,Landgraaf,50.8963890075684,6.01916646957398,"Stationsplein, Schaesberg, Landgraaf, Limburg, Nederland, 6372 GR, Nederland"
94,8400417,Maarn,52.0641670227051,5.36999988555908,"Spoor 2, Tuindorpweg, Maarn, Utrechtse Heuvelrug, Utrecht, Nederland, 3951 DD, Nederland"
95,8400426,Maastricht Randwyck,50.8386116027832,5.71722221374512,"Spoor 1, Rijksweg A2, Randwyck, Maastricht-Zuidoost, Maastricht, Limburg, Nederland, 6229 GW, Nederland"
96,8400435,Meppel,52.6908340454102,6.19750022888184,"2, Stationsweg, Meppel, Drenthe, Nederland, 7941 HG, Nederland"
97,8400452,Naarden-Bussum,52.2802772521973,5.15694427490234,"Bussum, Gooise Meren, Noord-Holland, Nederland, 1405 AL, Nederland"
98,8400508,Purmerend,52.5030555725098,4.95361089706421,"P+R Wilhelminalaan, Wilhelminalaan, Purmerend, Noord-Holland, Nederland, 1441 EH, Nederland"
99,8400517,Rhenen,51.958610534668,5.57833337783814,"Spoor 1, Lijnweg, Rhenen, Utrecht, Nederland, 3911 CA, Nederland"
