,passservice_num,arrival,departure,stations_uic
220,7362,2026-05-02 18:28:00+02:00,2026-05-02 18:28:30+02:00,8400417
221,7362,2026-05-02 18:34:00+02:00,2026-05-02 18:34:30+02:00,8400182
222,7362,2026-05-02 18:38:00+02:00,2026-05-02 18:38:30+02:00,8400141
223,7362,2026-05-02 18:43:00+02:00,2026-05-02 18:43:30+02:00,8400606
224,7362,2026-05-02 18:46:00+02:00,2026-05-02 18:49:00+02:00,8400621
225,7362,2026-05-02 18:52:00+02:00,2026-05-02 18:52:30+02:00,8400613
226,7362,2026-05-02 18:57:00+02:00,2026-05-02 18:57:30+02:00,8400419
227,7362,2026-05-02 19:01:00+02:00,2026-05-03 00:00:00+02:00,8400133
228,7369,2026-05-02 00:00:00+02:00,2026-05-02 18:58:00+02:00,8400133
229,7369,2026-05-02 19:03:00+02:00,2026-05-02 19:03:30+02:00,8400419
230,7369,2026-05-02 19:08:00+02:00,2026-05-02 19:08:30+02:00,8400613
231,7369,2026-05-02 19:11:00+02:00,2026-05-02 19:14:00+02:00,8400621
232,7369,2026-05-02 19:16:00+02:00,2026-05-02 19:16:30+02:00,8400606
233,7369,2026-05-02 19:21:00+02:00,2026-05-02 19:21:30+02:00,8400141
234,7369,2026-05-02 19:25:00+02:00,2026-05-02 19:25:30+02:00,8400182
235,7369,2026-05-02 19:31:00+02:00,2026-05-02 19:31:30+02:00,8400417
236,7369,2026-05-02 19:40:00+02:00,2026-05-02 19:40:30+02:00,8400628
237,7369,2026-05-02 19:43:00+02:00,2026-05-02 19:45:00+02:00,8400627
238,7369,2026-05-02 19:51:00+02:00,2026-05-03 00:00:00+02:00,8400517
239,5160,2026-05-02 00:00:00+02:00,2026-05-02 18:25:00+02:00,8400534
240,5160,2026-05-02 18:27:00+02:00,2026-05-02 18:27:30+02:00,8400533
241,5160,2026-05-02 18:30:00+02:00,2026-05-02 18:30:30+02:00,8400529
242,5160,2026-05-02 18:33:00+02:00,2026-05-02 18:35:00+02:00,8400530
243,5160,2026-05-02 18:39:00+02:00,2026-05-02 18:39:30+02:00,8400553
244,5160,2026-05-02 18:46:00+02:00,2026-05-02 18:46:30+02:00,8400166
245,5160,2026-05-02 18:48:00+02:00,2026-05-02 18:48:30+02:00,8400170
246,5160,2026-05-02 18:53:00+02:00,2026-05-02 18:53:30+02:00,8400505
247,5160,2026-05-02 18:56:00+02:00,2026-05-02 18:56:30+02:00,8400279
248,5160,2026-05-02 18:59:00+02:00,2026-05-02 19:01:00+02:00,8400280
249,5160,2026-05-02 19:04:00+02:00,2026-05-03 00:00:00+02:00,8400282
250,5061,2026-05-02 00:00:00+02:00,2026-05-02 19:11:00+02:00,8400282
251,5061,2026-05-02 19:14:00+02:00,2026-05-02 19:16:00+02:00,8400280
252,5061,2026-05-02 19:19:00+02:00,2026-05-02 19:19:30+02:00,8400279
253,5061,2026-05-02 19:22:00+02:00,2026-05-02 19:22:30+02:00,8400505
254,5061,2026-05-02 19:26:00+02:00,2026-05-02 19:26:30+02:00,8400170
255,5061,2026-05-02 19:29:00+02:00,2026-05-02 19:29:30+02:00,8400166
256,5061,2026-05-02 19:35:00+02:00,2026-05-02 19:35:30+02:00,8400553
257,5061,2026-05-02 19:40:00+02:00,2026-05-02 19:43:00+02:00,8400530
258,5061,2026-05-02 19:46:00+02:00,2026-05-02 19:46:30+02:00,8400529
259,5061,2026-05-02 19:49:00+02:00,2026-05-02 19:49:30+02:00,8400533
260,5061,2026-05-02 19:52:00+02:00,2026-05-03 00:00:00+02:00,8400534
261,4071,2026-05-02 00:00:00+02:00,2026-05-02 18:18:00+02:00,8400615
